,tweet
0,"Another day in Palestine, another funeral for a Palestinian assassinated by #Israel, another vicious attack by #IsraeliOccupation forces on the victim’s funeral procession, this time of slain Walid al-Sharif in #Jerusalem, 37 #Palestinians injured. #ApartheidIsrael #FreePalestine"
1,"Another day in Palestine, another funeral for a Palestinian assassinated by #Israel, another vicious attack by #IsraeliOccupation forces on the victim’s funeral procession, this time of slain Walid al-Sharif in #Jerusalem, 37 #Palestinians injured. #ApartheidIsrael #FreePalestine"
2,"Boycott apartheid Israel #BDS 
Killing of Abu Akleh shows Israel targets Palestinian journalists https://t.co/lNlPm09TQN via @AJEnglish
#ShireenAbuAkleh #FreePalestine"
3,"once more, Israeli terrorists attack Palestinian funerals... #IsraeliCrimes https://t.co/aXTrIDxbLS"
4,"The brutal #Israelioccupation arrests more than 50 Jerusalemites during confrontations following the funeral of the martyr Walid al-Sharif.
#FreePalestine https://t.co/cNX5HwxgtY"
5,"In memory of the Nakba, Palestine. In Glasgow, Scotland, Sunday 15th May 2022. #ApartheidIsrael #Nakba https://t.co/qyzgIXGGGv"
6,By way of deception #ApartheidIsrael https://t.co/ShIydc0X92
7,"Anti-Zionist Jews marching in the streets of Brooklyn - New York City, in solidarity with the Palestinian people, to protest 74 years of Israeli occupation and apartheid. #Nakba74 #BDS
https://t.co/8acuk0MKe4"
8,"This acts are only committed by most democratic state that denies Palestinians to enjoy their basic human right #ApartheidIsrael does not respect death or lives of Palestinian
#FreePalestine https://t.co/lqLgTnzpSS"
9,"‘The truth is that a decades-long occupation can only survive through wanton - sometimes random, sometimes carefully calibrated - acts of terror to keep the subject population fearful and subdued.’@Jonathan_K_Cook #ApartheidIsrael #ShireenAbuAqleh https://t.co/o6y6bxeXeE"
10,"#ApartheidIsrael new hobby, bloodlust for the dead https://t.co/oKhnpAuSgX"
11,Here is the proof of their #Zionist savagery attack!!! Liars! Cowards! Monsters!!! JudeoNazis!!!!! #israel #IsraeliCrimes #IsraeliApartheid #israeliarmy #ShireenAbuAqleh #JusticeForShireenAbuAqla #JusticeForShireen #FreePalestine #palestine https://t.co/eturJqeirP
12,Israeli occupation forces once again attacking a funeral of a young Palestinian 'Walid Al Sharif' they killed in cold blood!! #IsraeliCrimes https://t.co/mhL3EOS7pF
13,"Israel is trying every way they can to cover up the truth. They certainly don't want anyone traveling abroad and telling people what's really going on there. They kill journalists for the same reason.
#BDS Boycott, Divest, Sanction Israel now. #ICC4ISRAEL https://t.co/zRAL4Melnj"
14,"@facebookapp Facebook, You think criticizing Israel is Anti semitism??!!! #isreal #Antisemitism #ShireenAbuAqla #IsraeliCrimes #FreePalestine #IsraeliApartheid @facebookapp"
15,"The #Israeli police attacked him at #Alaqsa, now they torment his family &amp; mourners at his funeral in occupied #Jerusalem. Savage, heartless, inhumane occupation. When will #Palestinians get the justice and human rights they deserve? #Israelicrimes #FreePalestine #Palestine https://t.co/4TnKozfd75"
16,"Bruises appear clearly on the arms and the face of activist Fadwa Khader after She was brutally attacked by the #israelioccuptionforces during her participation in the funeral of the late Shireen AbuAkleh.
#اسرائیل_نامنظور 
#اسرائیل_کا_یار_نوازشریف 
#FreePalestine #IsraeliCrimes https://t.co/VPpb512qgz"
17,"@Joelmpetlin @RepRashida Palestians SHOULD NOT HAVE NEEDED to accept a partition plan! 🤡🤦🏻‍♂️ Europe needed to get rid of the Jews, that's why they created #ApartheidIsrael"
18,"Another day in Palestine, another funeral for a Palestinian assassinated by #Israel, another vicious attack by #IsraeliOccupation forces on the victim’s funeral procession, this time of slain Walid al-Sharif in #Jerusalem, 37 #Palestinians injured. #ApartheidIsrael #FreePalestine"
19,"@facebookapp @NakobeDean Facebook, You think criticizing Israel is Anti semitism??!!! #isreal #Antisemitism #ShireenAbuAqla #IsraeliCrimes #FreePalestine #IsraeliApartheid @facebookapp"
20,"Anti-Zionist Jews marching in the streets of Brooklyn - New York City, in solidarity with the Palestinian people, to protest 74 years of Israeli occupation and apartheid. #Nakba74 #BDS
https://t.co/8acuk0MKe4"
21,"Palestinian / American reporter killed in Palestine ase things get fierce ! 

#Palestine | #IsraeliCrimes | #FreePalestine https://t.co/JfECpCXV3q"
22,"Zionist regime attacks residential areas in Khan Yunis, Gaza.

#GazaUnderAttack
#القدس_تنتفض 
#القدس_قضية_كل_مسلم 
#فلسطين_تنتقض 
#فلسطين_حره
#IsraelStopPlayingVictim 
#IsraeliCrimes https://t.co/0we7TcdatY"
23,"The prisoner Khalil is facing a dangerous health condition, and this danger is compounded with the passage of time, and with the occupation's refusal to respond to his demand and end his administrative detention.Speak Up!
#معركة_الامعاء_الخاوية
#FreeThemAll
#IsraeliCrimes"
24,"The Israeli occupation practices abusive measures against the prisoner Khalil Awawda, including the continuous transfer from Ramle prison to Assaf Harofeh Hospital and returning him to the prison under the pretext that he refuses supplies
#معركة_الامعاء_الخاوية
#IsraeliCrimes"
25,"""Raed's case must reach the world's ears to support the issue of administrative prisoners in particular""
_The father of the prisoner, Raed Ryan.
Speak Up and raise their voice!
#معركة_الامعاء_الخاوية
#FreeThemAll
#IsraeliCrimes"
26,"The occupation authorities refuse to bring in the personal belongings of the prisoner Khalil Awawda and have prevented him from showering for more than a month. Speak Up!!
#معركة_الامعاء_الخاوية
#FreeThemAll
#IsraeliCrimes"
27,"Two prisoners continue their open-ended hunger strike in protest of the administrative detention without charge or trial by the Israeli occupation, Khalil Awawda (75 days) and Raed Rayan (40 days).
Speak Up!
#معركة_الامعاء_الخاوية
#FreeThemAll
#IsraeliCrimes"
28,"@AJewFromJudea @Dwight9898 @OnlinePalEng @bano_sanjeeda Hasbara  #ApartheidIsrael troll,
let me remind you:

Palestina belongs to that girl.

#BDS https://t.co/yyyqGhz5US"
29,Boycott Israel. Pass it on. #BDS
30,"Israeli occupation practices a policy of procrastination in responding to the demands of the prisoners on hunger strike aiming to exhaust them physically,as they use the time factor as a tool to impose the most severe forms of abuse on them
#معركة_الامعاء_الخاوية
#IsraeliCrimes"
31,"The level of evil to shoot mourners in a funeral yall..  It’s monstrous.

#Israel 
#ApartheidIsrael https://t.co/kOSlLQ0pFS"
32,"@moderatedew @daggerhaft @RyuGwansunSTAN @garybkatz @JonathanWeissb3 @IreneMinkema @Buckeye_ricky @BgoerckeRobert @searchfeast @FLastrade @sadcjp @6TK9Cn1RB4A49B1 @TheElementGuy @IMDibe @gomiriam63 @asegovia9 @KesBilly @corjoy @AnastasiaKLynch @RikkAngel @Brushsmoke @emmettimanu @Mosaic1948 @fr33palest1ne @Tax_Dodge_Hodge @Carl0s_Vela @whywouldyou_uk @Maccabi226km @WeinsteinDr @MehrMiriam @robinsonmsr10 @EdwardRose5 @Theodownunder @Roza_Shamina @soc_justice1 @EyalDavid1 @cool_grandad @e72319143 @MetschSusana @LongLiveZion2 @reallhere @JoshStern12 @DavidSimonSPG @anzarmlateef @Gul8877 @HillishStamford @MiriamL99472550 @THEEQUA33646335 @s17766566 @Free2smile1 Fun Fact # 39

You could catch a passenger train in Palestine.

You couldn't catch one in Israel as it never existed.

#FreePalestine 
#IsraeliCrimes https://t.co/bZ150lffDy"
33,"If you are a Jew, you need to retweet with a comment disowning this criminal called state of disgrace “Israel”. If you are otherwise, then spread this video to go around the whole world. Let everyone see what israel is ✌🏼🇵🇸
#IsraeliCrimes"
34,"Another day in Palestine, another funeral for a Palestinian assassinated by #Israel, another vicious attack by #IsraeliOccupation forces on the victim’s funeral procession, this time of slain Walid al-Sharif in #Jerusalem, 37 #Palestinians injured. #ApartheidIsrael #FreePalestine"
35,"@Keir_Starmer @LabourParty @BBCNews @ITV @Independent @guardian @SkyNews @Channel4News 
#ApartheidIsrael enablers &amp; supporters 
Shame on YOU!
STOP #ApartheidIsrael 👇👇👇👇 https://t.co/NBbl13h1Z5"
36,"Another day in Palestine, another funeral for a Palestinian assassinated by #Israel, another vicious attack by #IsraeliOccupation forces on the victim’s funeral procession, this time of slain Walid al-Sharif in #Jerusalem, 37 #Palestinians injured. #ApartheidIsrael #FreePalestine"
37,#israel never existed!!! #FreePalestine #Palestine #IsraeliApartheid #IsraeliOccupation #IsraeliCrimes #PalestinianGenocide #EndIsraeliOccupation #EndIsraeliApartheid https://t.co/91ISjv5YC9
38,"@AndyMcDonaldMP @rohantalbot @hrw @amnesty @btselem There is no other word for it but apartheid. 

#UK must stop funding #ApartheidIsrael"
39,"Another day in Palestine, another funeral for a Palestinian assassinated by #Israel, another vicious attack by #IsraeliOccupation forces on the victim’s funeral procession, this time of slain Walid al-Sharif in #Jerusalem, 37 #Palestinians injured. #ApartheidIsrael #FreePalestine"
40,Israeli occupation forces assault a Palestinian girl in occupied Jerusalem. #IsraeliCrimes #ApartheidIsrael #IsraeliThuggery https://t.co/MP8KgEEoH0
41,"@HananyaNaftali Only Isreal is a terrorist state.
#IsraeliCrimes 
#TerroristsIsreal
#FreePalestine https://t.co/Y9PTxT0pVv"
42,"We offer our condolences to the zionist entity, that there friend who recognized them has passed away! 

The mourners on his death actually sympathize with the murderers of #Palestinians &amp; the occupiers of #Aqsa Mosque.

#KhilafahLiberatesAlAqsa
#IsraeliTerrorism
 #القمر_العملاق https://t.co/Z6ivwu9UM8"
43,Israeli occupation forces assault a Palestinian girl in occupied Jerusalem. #IsraeliCrimes #ApartheidIsrael #IsraeliThuggery https://t.co/MP8KgEEoH0
44,"Boycott apartheid Israel #BDS 
Killing of Abu Akleh shows Israel targets Palestinian journalists https://t.co/lNlPm09TQN via @AJEnglish
#ShireenAbuAkleh #FreePalestine"
45,"#PeaceOfficersMemorialDay #NakbaDay #baffalo #HumanRights #NYC #EthnicCleansing #DoubleStandards #ShireenAbuAqla #FreePalestine #Free #BDS #Justice #Apartheid #BlackLivesMatter
#Palestine #Jerusalem #ICC4ISRAEL #UN #baffalo #Church #education #STATE #GunViolence #Nakba74
Stop 🛑 https://t.co/Qv9xR6Ov0z"
46,"#UN doing so hard on #IsraeliWarCrimes &amp; #IsraeliCrimes 
A true picture... 

#FreePalestine  
#اسرائیل_نامنظور
#SwabiJalsa #امپورٹڈ_حکومت_نامنظور https://t.co/DTNgoQ4Ptj"
47,"#BDS Pressure Works!

@HP-branded companies end major contracts with apartheid Israel, including Aviv System for population database.

Let's escalate our campaign to end @HPE's remaining contract with Israeli police and prison services.

https://t.co/FzotdS5va9 https://t.co/jSywAo1ln9"
48,"Across the world, #Israel &amp; allies are cracking down on attempts to hold it to account for its war crimes. In the UK, the government is now seeking to ban #BDS. We will fight this, but we need you to join us. 

Become a member of PSC today👉 https://t.co/NXhe43qgfh #FreePalestine https://t.co/W1o8uwEth4"
49,"😡
@JustinTrudeau When will Canada stand for #Palestine and its people and against #IsraeliCrimes
 and #IsraeliApartheid ?

Is #Ukarine the only #HumanRights crisis? Selective Justice and selective stands for Justice never being peace.. https://t.co/CyP26LDzja"
50,Satanic abuse evidence of disrespect towards elders #BDS https://t.co/0olFpOo2zP
51,"Anti-Zionist Jews marching in the streets of Brooklyn - New York City, in solidarity with the Palestinian people, to protest 74 years of Israeli occupation and apartheid. #Nakba74 #BDS
https://t.co/8acuk0MKe4"
52,"Anti-Zionist Jews marching in the streets of Brooklyn - New York City, in solidarity with the Palestinian people, to protest 74 years of Israeli occupation and apartheid. #Nakba74 #BDS
https://t.co/8acuk0MKe4"
53,"The level of evil to shoot mourners in a funeral yall..  It’s monstrous.

#Israel 
#ApartheidIsrael https://t.co/kOSlLQ0pFS"
54,"The paramedic who was injured after Israeli occupation forces brutally attacked the funeral procession of the martyr Walid Al Sharif, in occupied #Jerusalem.

#IsraeliCrimes #ShireenAbuAkleh https://t.co/wCX23UEb78"
55,"For the second time in 4 days! Israeli occupation forces attack a funeral, injuring at least 37 Palestinians including a journalist &amp; a paramedic! IOF also shot at the palestine red crescent society ambulance that was transporting the martyr's body. #IsraeliCrimes https://t.co/3GTwYahL3v"
56,@SaulStaniforth @Will62241097 @_LFI Why did you shake your head @steve_mccabe ? Worried that you won't get the million pounds from #ApartheidIsrael ?
57,Israeli occupation forces once again attacking a funeral of a young Palestinian 'Walid Al Sharif' they killed in cold blood!! #IsraeliCrimes https://t.co/mhL3EOS7pF
58,The crimes of #ApartheidIsrael https://t.co/bIIyO0f5He
59,"Another day in Palestine, another funeral for a Palestinian assassinated by #Israel, another vicious attack by #IsraeliOccupation forces on the victim’s funeral procession, this time of slain Walid al-Sharif in #Jerusalem, 37 #Palestinians injured. #ApartheidIsrael #FreePalestine"
60,"Another day in Palestine, another funeral for a Palestinian assassinated by #Israel, another vicious attack by #IsraeliOccupation forces on the victim’s funeral procession, this time of slain Walid al-Sharif in #Jerusalem, 37 #Palestinians injured. #ApartheidIsrael #FreePalestine"
61,"They know that their crimes go unpunished, so they did it again! Zio occupiers will continue to attack us, alive and dead!

#ShireenAbuAkleh #WalidAlSharif
#IsraeliCrimes"
62,"Out in #Vancouver #Canada at #Nakba74 rally for #Palestine + demanding Justice for Shireen Abu Akleh! Together we chanted ""From the River to the Sea, Palestine Will Be Free!"" 
#vanpoli #cdnpoli #شيرين_أبوعاقلة #فلسطين #IsraeliCrimes #ShireenAbuAqla #NakbaDay #JusticeForShireen https://t.co/vDy997jHnx"
63,"@AliAbunimah ""On 21 July 2014 an Israeli rocket hit the Al-Salam tower in #Gaza City and killed, among others, German citizen Ibrahim Kilani, his wife and their five children aged four to twelve years. "" 
Racist murder: widespread in #ApartheidIsrael, funded by EU
https://t.co/JU3sIO8OvJ"
64,"The level of evil to shoot mourners in a funeral yall..  It’s monstrous.

#Israel 
#ApartheidIsrael https://t.co/kOSlLQ0pFS"
65,"The level of evil to shoot mourners in a funeral yall..  It’s monstrous.

#Israel 
#ApartheidIsrael https://t.co/kOSlLQ0pFS"
66,"#FreePalestine from #ApartheidIsrael 
#BoycottIsrael https://t.co/9F8QgbzGAN"
67,"Across the world, #Israel &amp; allies are cracking down on attempts to hold it to account for its war crimes. In the UK, the government is now seeking to ban #BDS. We will fight this, but we need you to join us. 

Become a member of PSC today👉 https://t.co/NXhe43qgfh #FreePalestine https://t.co/W1o8uwEth4"
68,"Another day in Palestine, another funeral for a Palestinian assassinated by #Israel, another vicious attack by #IsraeliOccupation forces on the victim’s funeral procession, this time of slain Walid al-Sharif in #Jerusalem, 37 #Palestinians injured. #ApartheidIsrael #FreePalestine"
69,#PalestinianLivesMatter End #Israeli impunity. Sanctions now‼️ #BDS https://t.co/tViWrngEB2
70,"#FreePalaestine 
#EndIsraeliApartheid 
#MuslimGenocide 
#MuslimLivesMatter
Stop #IsraelTerrorism
#AlAqsaUnderAttack 
#SaveAlAqsaMosque https://t.co/ijdXfyPqYP"
71,"@sa__suffit The clearer it gets that these racist Zionists are losing, the world is finally waking up to the horror of #ApartheidIsrael, and stand in solidarity with Palestinians, the MORE aggressive +""unhinged"" they get, as Zirin states here: 
https://t.co/AMeFVr1T4R"
72,"‘The truth is that a decades-long occupation can only survive through wanton - sometimes random, sometimes carefully calibrated - acts of terror to keep the subject population fearful and subdued.’@Jonathan_K_Cook #ApartheidIsrael #ShireenAbuAqleh https://t.co/o6y6bxeXeE"
73,"Hey 
@Twitter
 stop censoring #Palestinian media, suspending pro Palestinian accounts &amp; supporting #ApartheidIsrael. #FreeSpeech is a #Right, not your favour! https://t.co/cPCMo9650R"
74,"Educate yourself about #Palestine's #Nakba, @simoncoveney, @MichealMartinTD, @LeoVaradkar.

Might make you think again about being 'Friends of #Israel'.

Jonathan Sugarman
#Ireland @JewishPeace
#Jews for #FreePalestine #Gaza
Against #IsraeliCrimes

#Nakba74 #ShireenAbuAkleh https://t.co/tcvVJH6503"
75,"Another day in Palestine, another funeral for a Palestinian assassinated by #Israel, another vicious attack by #IsraeliOccupation forces on the victim’s funeral procession, this time of slain Walid al-Sharif in #Jerusalem, 37 #Palestinians injured. #ApartheidIsrael #FreePalestine"
76,"If you retweet any video then this is it... 
Where is the world's condemnation?
Where is the outrage? 
What actions will be taken?

This is how #Israeli forces attacked innocent people at the funeral of #ShireenAbuAkleh 

Wake up to what is happening 

#IsraeliCrimes https://t.co/BggGH7DYfQ"
77,"eye.on.palestine 🇵🇸#Palestine | The Israeli occupation forces detain number of Palestinian children during the large-scale detention campaign that followed the funeral procession of Walid Sharif in the occupied city of Jerusalem, tonight. 16.5.2022 @samar_sauoo
#ApartheidIsrael https://t.co/Yeleck43ly"
78,"The #Israelioccupation forces close the Hawara checkpoint, south of Nablus, after shooting at a Palestinian in the area.#FreePalestine 
#SaveAlAqsa https://t.co/Foe1NSsRVR"
79,Boycott Israel. Pass it on. #BDS
80,"#BDS Pressure Works!

@HP-branded companies end major contracts with apartheid Israel, including Aviv System for population database.

Let's escalate our campaign to end @HPE's remaining contract with Israeli police and prison services.

https://t.co/FzotdS5va9 https://t.co/jSywAo1ln9"
81,74 years of zionist terror #BDS https://t.co/yC4XJRtgS8
82,"eye.on.palestine 🇵🇸#Palestine || The Israeli occupation forces raid the cemetery during the funeral of martyr Walid Sharif in the occupied city of Jerusalem. 16.5.2022
#ICC4Israel #ApartheidIsrael #BDS https://t.co/xGnQQyU9Ki"
83,"More than 30 years ago Apartheid South Africa became unacceptable. It is time for the world to say No to #ApartheidIsrael 
The world must stop Funding Israeli crimes against #Palestinians https://t.co/3IdxGgMAPO"
84,"eye.on.palestine 🇵🇸#Palestine | The moment when the Israeli occupation forces attack the funeral of martyr Walid Sharif near the Bab Al Sahira in Jerusalem. 16.5.2022
#ICC4Israel #ApartheidIsrael #BDS
https://t.co/QXl7EeXuiF https://t.co/AAQdobUSFH"
85,"Attack on the crowd attending the funeral procession of slain Palestinian journalist of Al Jazeera Shireen Abu Akleh by the Israeli Police.
#thesummernews #Israel #IsraeliCrimes #Aljazzera #AbuAkleh https://t.co/orSb7eT8wS"
86,74 years of zionist terror #BDS https://t.co/yC4XJRtgS8
87,"The #Israelioccupation forces close the Hawara checkpoint, south of Nablus, after shooting at a Palestinian in the area.#FreePalestine 
#SaveAlAqsa https://t.co/Foe1NSsRVR"
88,"Attacks on funerals are standard normal for the #ZIONAZI mofos
No respect for basic fundamental #human rights allowed nor permitted #BDS https://t.co/4CD9bAMWJF https://t.co/61XaTtoeBQ"
89,"She simply didn't ""die""
#FreePalestine #shameonisarel #Shereen_Abu_Aqleh #ShireenAbuAkleh #shameful #DoubleStandards #BoycottIsrael https://t.co/jbEGfVlfx7"
90,"#AttackIsrael #PalestinianLivesMatter

Why isn't the WEST giving aid to #Palestine just like it's doing to #Racist state #Ukraine??

Let's make things right, #DonateToPalestine #BoycottIsrael

#JusticeForPalestine #Eurovision"
91,"Another day in Palestine, another funeral for a Palestinian assassinated by #Israel, another vicious attack by #IsraeliOccupation forces on the victim’s funeral procession, this time of slain Walid al-Sharif in #Jerusalem, 37 #Palestinians injured. #ApartheidIsrael #FreePalestine"
92,"@SharriMarkson @DaveSharma @MichaelDanbyMP Your attempt to use affection or not for the crimes of #ApartheidIsrael as an election wedge is racist, sordid and pitiful. The sooner #Israel is in the dock at the ICC, the better."
93,"For #Israel, it's not enough to have shot dead Palestinian journalist #ShireenAbuAkleh.
It's necessary to brutalize the funeral. Shame on the White House for supporting this apartheid state.
Shame on Arab countries and their ""normalization"" with this apartheid state. 
#BDS NOW! https://t.co/0l1j5TItDc"
